31.21643851827184 70.31500848905611 66.05435926493253 6.3128977060611335 3.825702699620649		30.703032882166028 22.46177279360343 28.58107318660715 3.250649247650767 1.9303270200047695		-154.7455195203745 20.55883901221616 30.43974946802263 -3.563578272703988 -1.6810332928433016		-110.05763885556415 32.28488698401859 40.76364872951719 -2.333419699247343 -6.391006249151754		50.815928829447564 19.66733596965486 42.4592731337621 2.242584142413598 2.7512411140187667		
7.55362585040691 62.09188007910589 65.65486133875025 6.995014031027712 0.9275723320794045		-24.929185417787114 46.44769692483609 72.59410693645364 5.789488163453861 -2.690976263578074		-81.89870144694125 18.895186524896452 25.61350313647551 0.5138478058716226 -3.609896363530588		-126.2647058863707 48.574466215667144 62.48546054077253 -4.686633139151683 -6.388321975695834		142.95974967155306 30.100630486255554 45.85410941361961 -4.477590467672424 3.3790407136395784		
23.27927677157037 51.29148564422293 46.19825194241043 4.493784946922505 1.9334030411502585		15.715778189168232 52.82646803975894 64.569329521126 6.680845888377082 1.8798863821147664		142.7633702253997 9.947010776567193 17.01532988705457 -1.4183348179899362 1.078004594226439		-139.41705587591213 38.37915007637128 53.38397383821066 -5.374370685401416 -4.6036183573396565		-168.25441247702483 24.318112278207572 38.31592937846692 -4.737388063025989 -0.9849975190331449		
82.48805688764214 62.31713147478232 50.91690698426927 0.9316345278644304 7.065086382836927		59.61010827511059 68.4510025511992 87.66696897974859 3.9863739425257214 6.7973571726512265		84.43331718004987 14.81562430385021 23.483398065351516 0.25421688303930956 2.608320916080429		-177.97407360047774 28.51109103584622 46.65713123111063 -5.136226280701488 -0.18168799284821574		-144.6635091457924 14.446873214025008 29.109622759044555 -2.2777996600378323 -1.6149510016859863		
145.6796972795747 9.04633318356057 6.586015264366986 -0.9027715856533688 0.6162978904604693		60.254651561140875 57.32951245249613 76.11872029574752 4.333544921053992 7.583560077217041		-172.95138216270811 23.113063249158063 33.67496618475522 -4.476967145183964 -0.5535590117880517		-145.05016761304046 46.546307788859124 62.927527461598785 -7.068386618380286 -4.940119820537927		-161.79351704246145 30.018669686390332 50.83332442194645 -5.168915384721046 -1.7001010116541482		
-77.53683652373111 30.752302827514217 39.61500028171341 0.836653662345149 -3.7854164689770515		49.59022560173807 33.792323930530834 47.871170676496966 3.4456197408079303 4.047190437357785		-129.95780745846537 25.577165035318917 38.07407716250476 -2.585422855178726 -3.085798994417016		-119.05997202126203 70.04419348241744 96.46820005321882 -4.942354882487524 -8.894275834439213		-111.03146957438919 33.49010418833916 45.26649084117685 -1.9199145779225268 -4.993349283012305		
-39.53691345375897 45.25215255091811 50.79711698506854 4.487792034008016 -3.704308891182315		2.8154055921365826 51.884159606712444 69.4297430396276 6.981866970874626 0.3433520506731367		-116.28061302772518 43.977694706131466 54.88422913137053 -2.6777970426516062 -5.422729246217059		-112.35250983867198 54.31511818881431 69.6567940596623 -3.5190149188080047 -8.557896551759688		-78.53966034028801 10.983056305527292 14.673786279877858 0.4455654840777729 -2.197810331022503		
-105.78359831921694 47.419541503826906 53.27013530730729 -1.4077874191089423 -4.980456659495808		-46.9121108527618 32.540365476851036 47.155029537360946 3.750194373171014 -4.009243396790583		148.47367869623244 42.308618979654675 52.58290731753449 -4.813082474395211 2.952503011042205		-123.51316982723124 45.01671937915106 53.12679558143411 -3.7487231569768347 -5.66087532185853		-90.77380651720472 21.504710833287557 27.261231987841196 -0.05268258531896733 -3.9005955640699086		
-176.37753373795945 51.67115343657707 53.27811947700032 -6.651644970899641 -0.4211045967288736		-101.72410467648325 39.08681357157193 62.93908365863963 -1.2980935601463712 -6.2550034750979195		158.68296104784307 63.824543252924656 81.2063886278391 -7.454922135596444 2.909106971845486		-103.32669052397881 34.15938440518696 40.05652337457112 -1.4423330175058942 -6.088827310190446		-38.785930247468485 47.19005826156526 56.938118656187925 5.2409381049016535 -4.211703888799548		
-169.13456968800085 88.48660477451192 91.96855017159517 -8.12912099831024 -1.5603359262204244		-109.70644482054487 54.862245090763366 84.51286155858489 -2.624232052714655 -7.326599022330949		157.91234448465556 40.63549606665812 59.843957964085014 -5.744745431913718 2.3312575540801634		-134.2230382341986 46.13184773755684 66.25052292930994 -4.956975453433449 -5.093270581057341		-20.344217722248487 33.37443761917181 44.10298449869142 6.250880811466964 -2.3177567765552225		
